"ID"	,"REG_NO"	,"CORP_NAME"
"1426"	,"91320106765266388P"	,南京环宇印刷有限公司
"1352"	,"913201067283627842"	,南京三和彩色印刷有限公司
"1457"	,"9132019133945276X6"	,南京宏彩印务有限公司
"1461"	,"91320106835345525L"	,南京科发印刷厂
"1219"	,"91320114728350644L"	,南京天平彩色印刷有限公司
"1471"	,"320123600127843"	,南京市进源印刷厂
"1472"	,"91320116751283953M"	,南京立品印刷有限责任公司
"1474"	,"91320116759481698G"	,南京鼎明印刷厂
"1475"	,"91320116X08970669P"	,南京大地印刷厂
"1476"	,"92320116MA1P5BJL11"	,南京大厂振兴印刷厂
"1477"	,"91320116835420839H"	,南京扬子石化喜洋洋科工贸有限公司印刷厂
"1478"	,"320100000122794"	,南京浦镇鸿利商贸有限公司
"1481"	,"91320115135615803F"	,南京市江宁区江宁报社印刷有限公司
"1482"	,"92320115MA1P50U42Q"	,江宁区谷里金谷印刷厂
"1483"	,"92320115MA1Q5U4T4Q"	,江宁区智力印刷厂
"1484"	,"91320115585084720R"	,南京市江宁区新宏印刷厂
"1486"	,"92320115MA1PB6R77R"	,江宁区恒兴印刷厂
"1487"	,"320121000001004"	,南京诚印通印刷有限公司
"1488"	,"320121000002242"	,南京永安印务有限公司
"1489"	,"320121600015586"	,江宁区陶吴红祥印刷厂
"1491"	,"91320115135594336k"	,南京市江宁区教育印刷有限公司
"1493"	,"91320115135604581H"	,江宁区淳化新庄印刷厂
"1494"	,"92320115MA1NN0YE6H"	,江宁区华星印刷厂
"1496"	,"320121000044957"	,南京回首广告印务有限公司
"1498"	,"91320113135641788Y"	,南京空港印务有限公司
"1500"	,"91320115135603546M"	,南京汤山彩色印刷厂
"1501"	,"92320115MA1PXLER9L"	,南京高虹印刷厂
"1504"	,"320121000019246"	,江宁区金穗印刷厂
"1505"	,"320121000054638"	,江宁区铜山彩色印刷厂
"1506"	,"92320115MA1QT38855"	,江宁区方山印刷厂
"1507"	,"32012100085559"	,南京铜井印刷厂
"1508"	,"92320115MA1Q5KC005"	,江宁区新东印刷厂
"1510"	,"320121000200805170120"	,南京科艺彩色印刷厂
"1511"	,"320121000225387"	,南京永明印务有限公司
"1530"	,"320125600022099"	,高淳县淳溪工艺印刷厂
"1533"	,"320125000063298"	,南京市高淳彩印厂
"1534"	,"320125000009671"	,南京金笑印务有限责任公司
